seconds, weight, velocity
49.000000,1699440.000000,-1948281337782787559365578771002421692752803558867979000774611057434539677144659193090560186620387481373489210251455934887002411480084199398936168729910693715311570169460040343354033677656743438894875453814829805235710146104482387312363221846782493494878371929560608625193122083803265268929793920626017173504.000000
0.000000,2897000.000000,0.000000
1.000000,2897000.000000,-0.000000
2.000000,2897000.000000,0.000000
3.000000,2897000.000000,0.000000
4.000000,2897000.000000,0.000000
5.000000,2897000.000000,0.000000
6.000000,2897000.000000,0.000000
7.000000,2897000.000000,0.000000
8.000000,2897000.000000,0.000000
9.000000,2897000.000000,0.000000
10.000000,2897000.000000,0.000000
11.000000,2897000.000000,0.000000
12.000000,2897000.000000,0.000000
13.000000,2897000.000000,0.000000
14.000000,2897000.000000,0.000000
15.000000,2897000.000000,0.000000
16.000000,2897000.000000,0.000000
17.000000,2897000.000000,0.000000
18.000000,2897000.000000,0.000000
19.000000,2897000.000000,0.000000
20.000000,2897000.000000,0.000000
21.000000,2897000.000000,0.000000
22.000000,2897000.000000,0.000000
23.000000,2897000.000000,0.000000
24.000000,2897000.000000,0.000000
25.000000,2897000.000000,0.000000
26.000000,2897000.000000,0.000000
27.000000,2897000.000000,0.000000
28.000000,2897000.000000,0.000000
29.000000,2897000.000000,0.000000
30.000000,2897000.000000,0.000000
31.000000,2897000.000000,0.000000
32.000000,2897000.000000,0.000000
33.000000,2897000.000000,0.000000
34.000000,2897000.000000,0.000000
35.000000,2897000.000000,0.000000
36.000000,2897000.000000,0.000000
37.000000,2897000.000000,0.000000
38.000000,2897000.000000,0.000000
39.000000,2897000.000000,0.000000
40.000000,2897000.000000,0.000000
41.000000,2897000.000000,0.000000
42.000000,2897000.000000,0.000000
43.000000,2897000.000000,0.000000
44.000000,2897000.000000,0.000000
45.000000,2897000.000000,0.000000
46.000000,2897000.000000,0.000000
47.000000,2897000.000000,0.000000
48.000000,2897000.000000,0.000000
49.000000,2897000.000000,0.000000
0.000000,2897000.000000,0.000000
1.000000,2897000.000000,-0.000000
2.000000,2897000.000000,0.000000
3.000000,2897000.000000,0.000000
4.000000,2897000.000000,0.000000
5.000000,2897000.000000,0.000000
6.000000,2897000.000000,0.000000
7.000000,2897000.000000,0.000000
8.000000,2897000.000000,0.000000
9.000000,2897000.000000,0.000000
10.000000,2897000.000000,0.000000
11.000000,2897000.000000,0.000000
